"value";"language"
"Abbeville";"fr"
"Agen";"fr"
"Ain";"fr"
"Aisne";"fr"
"Aix-en-Provence";"fr"
"Ajaccio";"fr"
"Albertville";"fr"
"Albi";"fr"
"Alençon";"fr"
"Alès";"fr"
"Allier";"fr"
"Alpes-de-Haute-Provence";"fr"
"Alpes-Maritimes";"fr"
"Altkirch";"fr"
"Ambert";"fr"
"Amiens";"fr"
"Ancenis";"fr"
"Angers";"fr"
"Angoulême";"fr"
"Annecy";"fr"
"Antony";"fr"
"Apt";"fr"
"Arcachon";"fr"
"Ardèche";"fr"
"Ardennes";"fr"
"Argelès-Gazost";"fr"
"Argentan";"fr"
"Argenteuil";"fr"
"Ariège";"fr"
"Arles";"fr"
"Arras";"fr"
"Aube";"fr"
"Aubusson";"fr"
"Auch";"fr"
"Aude";"fr"
"Aurillac";"fr"
"Autun";"fr"
"Auxerre";"fr"
"Avallon";"fr"
"Avesnes-sur-Helpe";"fr"
"Aveyron";"fr"
"Avignon";"fr"
"Avranches";"fr"
"Bagnères-de-Bigorre";"fr"
"Bar-le-Duc";"fr"
"Bar-sur-Aube";"fr"
"Barcelonnette";"fr"
"Bas-Rhin";"fr"
"Bastia";"fr"
"Bayeux";"fr"
"Bayonne";"fr"
"Beaune";"fr"
"Beauvais";"fr"
"Belfort";"fr"
"Bellac";"fr"
"Belley";"fr"
"Bergerac";"fr"
"Bernay";"fr"
"Besançon";"fr"
"Béthune";"fr"
"Béziers";"fr"
"Blaye";"fr"
"Blois";"fr"
"Bobigny";"fr"
"Bonneville";"fr"
"Bordeaux";"fr"
"Bouches-du-Rhône";"fr"
"Boulogne-Billancourt";"fr"
"Boulogne-sur-Mer";"fr"
"Bourg-en-Bresse";"fr"
"Bourges";"fr"
"Bressuire";"fr"
"Brest";"fr"
"Briançon";"fr"
"Briey";"fr"
"Brignoles";"fr"
"Brioude";"fr"
"Brive-la-Gaillarde";"fr"
"Caen";"fr"
"Cahors";"fr"
"Calais";"fr"
"Calvados";"fr"
"Calvi";"fr"
"Cambrai";"fr"
"Cantal";"fr"
"Carcassonne";"fr"
"Carpentras";"fr"
"Castellane";"fr"
"Castelsarrasin";"fr"
"Castres";"fr"
"Ceret";"fr"
"Cergy-Pontoise";"fr"
"Chalon-sur-Saône";"fr"
"Châlons-en-Champagne";"fr"
"Chambéry";"fr"
"Charente-Maritime";"fr"
"Charente";"fr"
"Charleville-Mézières";"fr"
"Charolles";"fr"
"Chartres";"fr"
"Chateau Thierry";"fr"
"Château-Chinon";"fr"
"Château-Gontier";"fr"
"Châteaubriant";"fr"
"Châteaudun";"fr"
"Châteaulin";"fr"
"Châteauroux";"fr"
"Châtellerault";"fr"
"Chaumont";"fr"
"Cher";"fr"
"Cherbourg-Octeville";"fr"
"Chinon";"fr"
"Cholet";"fr"
"Clamecy";"fr"
"Clermont-Ferrand";"fr"
"Clermont";"fr"
"Cognac";"fr"
"Colmar";"fr"
"Commercy";"fr"
"Compiègne";"fr"
"Condom";"fr"
"Confolens";"fr"
"Corrèze";"fr"
"Corse-du-Sud";"fr"
"Corte";"fr"
"Cosne-Cours-sur-Loire";"fr"
"Côte-d'Or";"fr"
"Côtes-d'Armor";"fr"
"Coutances";"fr"
"Créteil";"fr"
"Creuse";"fr"
"Dax";"fr"
"Deux-Sèvres";"fr"
"Die";"fr"
"Dieppe";"fr"
"Digne-les-Bains";"fr"
"Dijon";"fr"
"Dinan";"fr"
"Dole";"fr"
"Dordogne";"fr"
"Douai";"fr"
"Doubs";"fr"
"Draguignan";"fr"
"Dreux";"fr"
"Drôme";"fr"
"Dunkerque";"fr"
"Épernay";"fr"
"Épinal";"fr"
"Essonne";"fr"
"Étampes";"fr"
"Eure-et-Loir";"fr"
"Eure";"fr"
"Évreux";"fr"
"Évry";"fr"
"Figeac";"fr"
"Finistère";"fr"
"Florac";"fr"
"Foix";"fr"
"Fontainebleau";"fr"
"Fontenay-le-Comte";"fr"
"Forbach";"fr"
"Forcalquier";"fr"
"Fougères";"fr"
"Gap";"fr"
"Gard";"fr"
"Gers";"fr"
"Gex";"fr"
"Gironde";"fr"
"Gourdon";"fr"
"Grasse";"fr"
"Grenoble";"fr"
"Guéret";"fr"
"Guingamp";"fr"
"Haguenau";"fr"
"Haut-Rhin";"fr"
"Haute-Corse";"fr"
"Haute-Garonne";"fr"
"Haute-Loire";"fr"
"Haute-Marne";"fr"
"Haute-Saône";"fr"
"Haute-Savoie";"fr"
"Haute-Vienne";"fr"
"Hautes-Alpes";"fr"
"Hautes-Pyrénées";"fr"
"Hauts-de-Seine";"fr"
"Hérault";"fr"
"Ille-et-Vilaine";"fr"
"Indre-et-Loire";"fr"
"Indre";"fr"
"Isère";"fr"
"Issoire";"fr"
"Issoudun";"fr"
"Istres";"fr"
"Jonzac";"fr"
"Jura";"fr"
"L'Haÿ-les-Roses";"fr"
"La Châtre";"fr"
"La Flèche";"fr"
"La Roche-sur-Yon";"fr"
"La Rochelle";"fr"
"La Tour-du-Pin";"fr"
"Landes";"fr"
"Langon";"fr"
"Langres";"fr"
"Lannion";"fr"
"Laon";"fr"
"Largentière";"fr"
"Laval";"fr"
"Le Blanc";"fr"
"Le Havre";"fr"
"Le Mans";"fr"
"Le Puy-en-Velay";"fr"
"Le Raincy";"fr"
"Le Vigan";"fr"
"Lens";"fr"
"Les Andelys";"fr"
"Les Sables-d'Olonne";"fr"
"Lesparre-Médoc";"fr"
"Libourne";"fr"
"Lille";"fr"
"Limoges";"fr"
"Limoux";"fr"
"Lisieux";"fr"
"Loches";"fr"
"Lodève";"fr"
"Loir-et-Cher";"fr"
"Loire-Atlantique";"fr"
"Loire";"fr"
"Loiret";"fr"
"Lons-le-Saunier";"fr"
"Lorient";"fr"
"Lot-et-Garonne";"fr"
"Lot";"fr"
